1	0.965	 0.775	 0	 0.968
0	-0.99	 0	 0	 -0.70
1	0.757	 0	 0	 0
1	0.089	 0.132	 -0.10	 0.119
1	0.277	 0.161	 0	 0.337
1	0	 0.076	 0	 0.066
1	0	 0	 0	 0.766
1	0	 0	 0.758	 -0.77
1	0.027	 0.093	 0.025	 0.071
1	0.043	 -0.05	 0	 0
1	0.814	 0	 0	 0.856
1	0	 0.131	 0	 0
1	0	 0	 0.896	 -0.96
1	0.08	 -0.02	 0	 0
1	0.808	 0	 0	 0.943
1	0.791	 0.934	 0	 0.85
1	0.922	 0.964	 0	 0
1	-0.18	 -0.01	 -0.10	 -0.16
1	0	 0	 0.788	 -0.71
1	0.918	 0.988	 0	 0
1	0.761	 0.937	 0	 0
1	0.856	 0	 0	 0.963
1	0	 0	 -0.05	 -0.05
1	0	 0	 0.727	 -0.80
0	-0.99	 0	 0	 -0.70
0	-0.67	 0	 0.838	 -0.86
0	-0.97	 0	 -0.98	 0
0	-0.86	 0	 -0.88	 0
0	-0.86	 0	 -0.88	 0
0	-0.74	 0	 0.882	 0
0	-0.76	 0	 0	 -0.82
0	-0.88	 0	 0.916	 0
0	-0.92	 0	 0.757	 -0.90
0	0	 0	 0.994	 -0.95
0	-0.04	 0.127	 -0.12	 0.223
1	0.03	 -0.00	 0	 0.089
0	-0.78	 0	 0.801	 -0.87
0	0	 0	 -0.96	 -0.86
1	0.902	 0.764	 0	 0
1	-0.06	 0	 -0.15	 -0.12
1	0.759	 -0.72	 0	 0.893
0	-0.58	 0	 0.773	 -0.79
0	-0.75	 0	 0.706	 -0.73
0	-0.03	 -0.00	 -0.07	 -0.18
0	-0.73	 0	 -0.98	 0
0	-0.75	 0	 0.715	 -0.72
1	0.759	 -0.72	 0	 0.893
1	0.96	 -0.83	 0	 0.566
1	0	 0	 -0.92	 -0.87
1	0.934	 -0.62	 0	 0.79
1	0.934	 -0.62	 0	 0.79
0	-0.85	 0	 0.936	 -0.80
0	-0.55	 0	 0.911	 -0.98
0	-0.88	 0	 0.882	 -0.58
0	-0.86	 0	 0.76	 -0.97
0	-0.06	 0.183	 0.651	 -0.64
0	-0.06	 0.183	 0.651	 -0.64
0	-0.06	 0.123	 0.712	 -0.67
1	0.614	 -0.95	 0	 0.768
